Code,Name,Category,Price,SalePrice,Description,StockQuantity
T1986,EXTRA,Executive/Office,1500,,Product description pending,10
T1987,EXPECT,Executive/Office,1500,,Product description pending,10
SO1988,REST,Sofa/Lounge,2500,,Product description pending,5
OFF1989,MAXI,Executive/Office,1800,,Product description pending,10
OFF1989a,VISITORS,Executive/Office,1200,,Product description pending,15
OFF1989b,ADEL,Executive/Office,1600,,Product description pending,10
OFF1990,VICTORY,Executive/Office,1700,,Product description pending,10
1980,EXECUTIVES,Executive/Office,1500,,Product description pending,10
1985,CHIEFS,Executive/Office,2000,,Product description pending,8
2010,KINGS,Executive/Office,2200,,Product description pending,10
1981,KINGS II,Executive/Office,2200,,Product description pending,10
1982,KINGSHIP,Executive/Office,2100,,Product description pending,8
1983,ROYALS,Executive/Office,1900,,Product description pending,10
1984,LIVING,Executive/Office,1800,,Product description pending,10
250,MESH,Executive/Office,1400,,Product description pending,15
350,AXIS,Executive/Office,1600,,Product description pending,10
360,WINK,Executive/Office,1500,,Product description pending,10
380,AMY,Executive/Office,1500,,Product description pending,10
330,LUZ,Executive/Office,1400,,Product description pending,10
—,EIGHT,Visitor Chair,800,,Product description pending,20
—,EIGHT VISITOR,Visitor Chair,850,,Product description pending,20
191,ZENITH,Stylish Collection,1200,,Product description pending,10
320,JOY,Stylish Collection,1100,,Product description pending,10
310,ORANGE,Stylish Collection,1150,,Product description pending,10
371,MINA,Stylish Collection,1200,,Product description pending,10
250,TASK,Stylish Collection,900,,Product description pending,15
